8	1	68	25	13	94	65	66
8	0	69	25	14	94	66	66
9	0	69	24	15	94	66	65
10	0	69	23	14	94	66	64
9	0	68	23	14	95	67	64
10	0	68	22	13	95	68	64
9	0	68	23	12	95	68	65
9	1	69	23	12	94	67	65
8	1	69	24	12	93	67	64
7	1	70	24	11	93	66	64
8	1	69	24	12	93	67	64
8	0	69	23	13	93	67	63
7	0	69	22	14	93	66	63
8	0	68	22	15	93	66	62
9	0	68	23	14	93	66	63
8	0	68	22	13	93	66	64
8	1	67	22	13	92	66	65
8	0	68	22	13	93	66	64
9	0	68	21	14	93	67	64
8	0	68	22	15	93	67	63
8	1	68	21	14	93	67	62
7	1	68	20	14	94	67	63
8	1	67	20	14	95	67	64
9	1	67	21	13	95	66	64
10	1	68	21	13	94	67	64
10	2	69	21	13	93	67	63
10	3	70	21	14	93	67	64
9	3	69	21	14	92	66	64
8	3	70	21	14	91	65	64
9	3	69	21	14	90	65	63
10	3	69	22	13	90	64	63
11	3	69	23	13	91	63	63
11	2	69	24	13	92	64	63
11	1	69	23	13	91	63	63
11	2	69	24	14	91	63	64
12	2	70	24	13	91	63	63
12	3	69	24	13	90	62	63
12	4	69	23	13	91	61	63
13	4	69	22	13	92	61	64
13	3	68	22	14	92	60	64
13	2	67	22	15	92	59	64
13	3	67	21	16	92	58	64
12	3	67	22	16	93	58	65
13	3	67	23	16	92	58	66
12	3	67	22	16	93	59	66
12	4	66	22	16	92	59	67
12	3	66	23	15	92	59	68
12	2	65	23	15	91	60	68
13	2	64	23	14	91	60	67
13	1	64	24	14	92	59	67
12	1	64	23	14	93	59	68
11	1	64	22	14	92	59	69
12	1	63	22	14	91	59	70
12	2	63	21	13	91	60	70
13	2	62	21	14	91	60	71
12	2	61	21	13	91	59	71
12	3	62	21	14	91	59	72
11	3	61	21	13	91	59	73
12	3	62	21	12	91	58	73
12	2	63	21	13	91	58	72
12	3	64	21	14	91	57	72
13	3	64	22	13	91	58	72
14	3	64	21	12	91	59	72
14	4	64	22	12	92	59	73
14	3	65	22	12	91	58	73
14	4	65	21	11	91	58	72
15	4	66	21	12	91	58	73
14	4	66	22	11	91	57	73
14	3	66	23	10	91	57	72
15	3	66	24	10	90	56	72
15	4	65	24	9	90	57	72
14	4	66	24	9	89	57	73
15	4	66	25	9	90	58	73
15	3	67	25	10	90	57	73
15	4	67	24	10	89	57	74
16	4	67	25	9	89	56	74
17	4	67	26	8	89	55	74
17	5	67	27	7	89	55	75
18	5	68	27	8	89	54	75
19	5	69	27	8	90	55	75
19	6	70	27	8	91	55	76
19	5	71	27	7	91	54	76
19	6	70	27	8	91	53	76
18	6	69	27	7	91	53	75
18	5	69	28	7	90	52	75
18	4	70	28	7	91	52	74
19	4	70	29	8	91	51	74
20	4	69	29	7	91	52	74
20	5	69	28	7	90	51	74
20	6	68	28	8	90	50	74
20	7	69	28	8	91	51	74
19	7	70	28	8	90	51	73
19	8	70	29	7	90	50	73
20	8	70	30	8	90	50	72
20	7	71	30	8	89	50	73
20	6	72	30	7	89	51	73
21	6	72	31	7	90	52	73
21	5	73	31	8	90	52	74
21	6	73	32	8	91	52	73
20	6	73	31	8	90	53	73
21	6	74	31	8	91	53	72
22	6	74	32	7	91	54	72
22	5	73	32	8	91	55	72
23	5	73	33	9	91	54	72
23	6	73	32	10	91	55	72
22	6	72	32	9	91	56	72
23	6	73	32	10	91	56	73
23	5	73	33	11	91	56	72
23	4	72	33	11	90	57	72
24	4	72	34	11	89	56	72
23	4	72	33	11	88	57	72
23	3	72	32	11	89	57	73
23	2	72	31	11	88	58	73
22	2	72	30	10	88	59	73
22	3	72	29	10	87	60	73
22	4	73	29	11	87	60	74
21	4	73	28	10	87	60	75
21	5	73	29	10	86	60	74
21	4	73	28	10	85	60	73
20	4	74	28	11	85	61	73
21	4	74	27	11	86	60	73
22	4	73	27	12	86	61	73
21	4	73	28	13	86	61	74
22	4	72	28	13	85	62	74
23	4	73	28	12	85	62	73
24	4	73	29	13	85	61	73
24	3	73	28	13	86	61	74
25	3	72	28	13	85	61	75
24	3	72	29	14	85	62	75
24	4	72	28	13	85	62	76
24	5	71	28	14	85	61	76
23	5	72	28	14	86	61	75
23	6	72	27	14	85	62	75
23	5	72	28	13	85	61	75
24	5	73	28	12	85	61	74
25	5	74	28	13	85	61	73
25	6	74	29	12	85	61	72
25	5	73	29	12	86	62	72
26	5	73	28	13	86	61	72
26	6	73	27	12	86	62	72
26	5	74	27	11	86	62	73
26	4	74	28	12	86	63	73
25	4	75	28	12	87	63	72
25	5	74	28	13	87	63	73
26	5	75	28	13	88	63	74
26	6	75	27	12	88	62	74
25	6	75	28	11	88	63	74
25	7	75	27	12	88	63	75
24	7	75	28	11	88	64	75
25	7	75	29	11	89	64	76
25	6	75	30	11	90	65	76
25	5	76	30	12	90	65	77
25	6	76	29	12	89	65	78
25	5	76	30	12	90	64	78
24	5	77	30	12	91	64	77
25	5	76	30	12	90	64	76
25	6	77	30	12	89	64	77
25	5	78	30	13	89	65	77
25	6	78	29	12	89	65	78
24	6	78	28	11	89	65	77
24	5	78	29	12	89	64	77
23	5	79	29	12	88	63	77
22	5	78	29	12	87	63	78
21	5	77	29	13	87	64	78
21	6	76	29	14	87	64	77
21	7	76	30	14	88	64	78
22	7	76	29	14	89	65	78
22	6	76	28	14	90	66	78
22	5	75	28	15	90	66	77
21	5	75	27	14	90	67	77
21	6	76	27	14	91	66	77
22	6	76	26	14	90	66	78
22	5	76	25	13	90	66	79
21	5	75	25	14	90	67	79
21	4	76	25	15	90	67	80
21	3	76	26	14	90	67	81
21	4	76	27	14	89	66	81
